customer_id,analysis_id,status,job_role,experience_level.level,experience_level.years,overview,strengths,gaps,recommendations,keywords,formatting_issues,regional_insights,created_at,file_name
1,1759998111377,craft,Flutter development,Mid level,2,"Proficient Flutter Developer with 2 years building high-performance, cross-platform mobile apps for iOS and Android. Strong expertise in Flutter framework, Dart language, Firebase integration, and creating intuitive, pixel-perfect user interfaces.",Proficient Flutter & Dart development | Cross-platform mobile expertise | Pixel-perfect UI collaboration,Generic project description | Missing GitHub link URL | No quantified achievements | Lacks professional certifications | Incomplete project details,Add actual GitHub project links | Quantify achievements with metrics | Include relevant certifications | Use Australian English spellings | Add mobile-friendly contact format,Flutter | Dart | Firebase | RESTful APIs | Agile,Placeholder GitHub link text | LinkedIn URL missing protocol | Bullet style inconsistent | Section spacing varies | Lacks summary bullet points,Australian employers expect local phone format | Highlight work rights or visa status | Use $ AUD salary expectations | Emphasize Agile/Scrum experience | Include local tech meetups or communities,2025-10-09T08:22:24,Christopher Davis_Flutter Developer.pdf
2,1759998769335,craft,Data analytics,Senior level,9,"Seasoned System Manager with 9 years of ERP and BI expertise at JYSK Vietnam and 3 years as Business Developer at IKEA, skilled in SQL, Power BI, Odoo, and business process optimization—ideal for Data Analytics positions.",ERP systems implementation with Odoo | BI reporting with SQL Server & Power BI | Built high-traffic e-commerce platform,Missing professional summary section | Lacks LinkedIn/GitHub profile links | Limited quantifiable metrics in IKEA role | Inconsistent bullet formatting | No mention of visa/work rights,Add a professional summary highlighting key achievements | Quantify metrics in IKEA role to showcase impact | Standardize bullet formatting and indentation | Include LinkedIn and GitHub profile links | List specific ERP modules and industry keywords,ERP | Odoo | SQL | Power BI | BI reporting | Data modeling | Business process optimization | KPI | E-commerce | Supplier performance,Hyphen and bullet mix inconsistent | No uniform bullet indentation | Section headings misaligned | Incomplete punctuation in bullets | Inconsistent date format,"Use Australian English spelling (e.g., ""optimise"") | State work rights or visa status for Australia | Target A$90-110k salary range for senior data analytics | Highlight compliance with Australian data privacy standards | Adopt two-page CV format preferred in Australia",2025-10-09T08:33:36,CV_Minh Vu - Minh Vu.pdf
3,1759999340602,craft,Artificial intelligence,Entry level,3,"Electrical Engineering student with research experience in optimization and deep learning, proficient in Python, Matlab, TensorFlow, React.js, and Figma. Seeking Artificial Intelligence roles leveraging robust algorithm development and front-end prototyping expertise.",Expertise in robust EV charging optimization | Founded blockchain course curriculum | Designed UI prototypes using Figma & React,"No professional summary or objective statement | Lacks keywords: machine learning, CNN, PyTorch, Keras | No mention of deployment or MLOps experience | Limited mention of data preprocessing or feature engineering | Missing mention of version control (e.g., Git)","Add a professional summary highlighting AI/ML aspirations | Quantify outcomes in front-end projects (e.g., user adoption metrics) | Include ML-specific keywords: CNN, PyTorch, model deployment | Consolidate certifications under a separate section | Standardize date formats and header formatting",Python | Matlab | TensorFlow | Deep Learning | Optimization | Blockchain | React.js | Figma | Machine Learning | Data Analysis,Inconsistent date formats across entries | Job titles and company names not clearly separated | Contact info header separators vary | Bullet indent levels inconsistent | Project titles formatting inconsistent,Clearly state Australian work rights or visa status | Use Australian English spelling conventions | Highlight experience with AWS or Azure cloud platforms | Graduate AI engineer roles in Australia range ~AUD70k–90k | Reference local projects or collaborations when possible,2025-10-09T08:42:56,BaoTran_resume - BaÌo TraÌÌn.pdf
4,1760001071242,craft,Business analyst  ,Executive level,18,"Project Manager with over 18 years in marketing & communications and 8+ years as an entrepreneur serving as Product Owner and Project Manager of ICT initiatives. Currently Founder & CEO of an Australian edutech and health tech startup, and Program Manager/Consultant across Australia and Vietnam, delivering contract negotiations, stakeholder coordination, and MVP launches.",Entrepreneurial leadership | Cross-continental project management | Agile stakeholder coordination,No business analysis keywords | Lacks quantified achievements | Missing core competencies section | Overseas roles lack detail | Inconsistent date formats,"Quantify achievements (e.g., % growth, budget sizes) | Add business analysis keywords (requirements, UML) | Include core competencies section near top | Standardize date formats (MMM YYYY) | Consider PMP/Prince2 certification to boost credibility",project management | stakeholder engagement | contract negotiation | Agile | MVP | P&L | budget management | business analysis,Bullet styles vary | Overseas roles merged bullets | Website links inconsistent | No section headers for scopes | Lacks clear section breaks,"Australian employers value PMP/Prince2 or Agile certification | Highlight right to work or visa class if applicable | Use Australian English spelling (e.g., ‘organise’) | Salary expectations for senior business analysts ~120–150K AUD | Emphasise stakeholder engagement in local context",2025-10-09T09:12:00,Le Anh Vy - CV.PDF
4,1760001127938,craft,Business analyst  ,Senior level,18,"Project and program management professional with 18 years of international experience in marketing, communications, and ICT projects. Entrepreneurial founder of Seedsoft PTY LTD launching MVPs in edutech and health tech, with proven expertise in contract negotiation, stakeholder management, and team leadership.",Extensive program & project management expertise | Proven leadership launching MVPs & scaling teams | Strong stakeholder negotiation & contract skills,No quantifiable impact metrics | Missing business analysis keywords | Limited sector-specific certifications | Lack of Australian work rights statement | No language proficiencies listed,"Include quantifiable achievements (e.g., revenue, cost savings) | Highlight core business analysis tasks: requirements, gap analysis | Add recognized certifications (e.g., CBAP, Prince2) | Specify Agile/PMI methodologies and tools used | Refine summary with ATS keywords for business analysis",project management | program management | contract negotiation | MVP | Agile | stakeholder management | team leadership | data analysis,Inconsistent date format styles | Bullet style varies across sections | Missing headings for overseas roles | URLs in parentheses not hyperlinked | Uneven spacing around dashes,"State Australian work rights or visa status clearly | Use Australian English spelling and terminology | Join local bodies (e.g., AIPM) to boost credibility | Familiarise with AS ISO 21500 project standards | Align salary expectations: PM roles ~AU$100–140K",2025-10-09T09:13:11,Le Anh Vy - CV.PDF
5,1760001497602,craft,Data engineering,Senior level,6,"Skilled Data Engineer with 6 years of experience designing and maintaining scalable ETL pipelines, data warehouses, and big data infrastructure.",Scalable ETL pipeline design | Big data technology expertise | Data warehousing and Redshift mastery,No measurable achievement metrics | Certifications not listed | Work authorization status missing | Limited DevOps/CI-CD mention | Generic summary lacks keywords,"Add measurable metrics to highlight impact (e.g., processing time improvements) | Include relevant certifications (e.g., AWS Certified Data Engineer) | Standardize date formats throughout the CV | Highlight DevOps/CI-CD tools and processes for data pipelines | Incorporate industry keywords like DataOps, ELT",Apache Spark | Airflow | Amazon Redshift | ETL | Data Warehousing | AWS | Python | SQL | Kafka | Big Data,Inconsistent date formats across sections | Education entries run together without clear breaks | Phone number lacks international format | LinkedIn URL not hyperlinked | No section headers for skills categories,Australian roles often require Azure data services experience | Senior Data Engineer salary ranges AU$130k–160k annually | Highlight open work rights or visa subclass in Australia | Mention availability in AEST timezone for recruiters | Include local tools like Databricks and AWS Glue,2025-10-09T09:18:42,Amanda Martinez_Data Engineer(1).docx
6,1760001471313,craft,Business analyst  ,Mid level,6,"Seasoned business technology professional with six years of experience in IT support, system deployments, and stakeholder liaison within local government. Skilled in process documentation, requirement analysis, and service management.",MECM/Autopilot deployment expertise | Azure & Intune administration | Comprehensive network troubleshooting,No quantified achievements | Inconsistent bullet symbols | Missing real LinkedIn URL | Mixed date formats | Lack of metrics in work experience,"Quantify achievements with metrics (e.g., ticket resolution times) | Add actual LinkedIn URL instead of placeholder | Standardise bullet symbols and date formats | Highlight requirement gathering and stakeholder communication | Tailor summary and core competencies for BA roles",Active Directory | Azure | Intune | MECM/Autopilot | Jamf Pro | ITIL | Ticketing | SCCM | Network troubleshooting | L2 support,Inconsistent bullet characters | Varying date formatting | Mixed abbreviations | Long unwrapped bullet lines | Certifications formatting inconsistent,"Use Australian English spellings (e.g., ‘organise’) | Signal right-to-work status or visa details | VIC IT support salary bands ~$70k–$90k | Highlight AusGov security clearances or Police Checks | Emphasise familiarity with local councils’ tech stacks",2025-10-09T09:18:49,Arshad R Manivannan  - IT Resume.pdf
3,1760001555963,craft,Artificial intelligence,Mid level,3,"Electrical Engineering student (GPA 3.94/4.00, expected 2025) with research experience in robust optimization for EV smart charging using MATLAB. Skilled in Python, TensorFlow, and front-end development (React.js, Figma), with hands-on experience in deep learning projects and curriculum design. Seeking Artificial Intelligence roles to apply algorithm development and data-driven solutions.",Expert in robust optimization algorithms | Proficient in TensorFlow and Python | Front-end prototyping with React.js,Missing 'Machine Learning' keyword | No Git/GitHub repository link | Lacks cloud platform experience | No industry-standard AI metrics | Missing summary section,"Add a brief professional summary highlighting AI focus | Include GitHub or portfolio links for code samples | Incorporate key AI/ML keywords for ATS optimization | Quantify outcomes in project bullets (e.g., accuracy gains) | Group technical skills by category for clarity",Machine Learning | Deep Learning | Neural Networks | Data Analysis | Cloud Computing,No professional summary at top | Date formats vary (Apr 2022 vs Mar 2022) | Bullet indent inconsistent | LinkedIn URL not clickable | Section headers lack uniform styling,"Australian CVs often include a concise personal statement at top | Highlight visa/work rights if applicable for Australia | Use Australian English spelling (e.g., 'optimisation') | Familiarity with cloud services (AWS/Azure) is valued in Australia | Average entry-level AI salary in Australia is AUD 80K–100K",2025-10-09T09:19:50,BaoTran_resume - BaÌo TraÌÌn.pdf
7,1760002994028,completed,Test engineering,Expert level,17,"Expert-level Test Engineer with 17 years of experience in manual and automated testing, leading QA teams and optimizing CI/CD pipelines across SaaS and mobile platforms.",QA team leadership | Extensive automation expertise | Optimization of CI/CD testing,Missing LinkedIn URL | No professional summary section | Placeholders not updated | Inconsistent bullet symbols | Skills section overly broad,Add a concise professional summary | Include LinkedIn profile | Standardize bullet formatting | Remove placeholder text | Quantify skills and achievements,Test automation | Manual testing | Selenium | Python | CI/CD | ISTQB,"Inconsistent bullet symbols | Placeholders ([e.g.,],[a note-taking...]) | Date formats vary | No professional summary | Skills not quantified",Highlight Australian English spelling conventions | Mention work rights or visa status | Align skills with local tools like Azure DevOps | Include expected salary range (AUD) | Emphasize ISO and compliance standards,2025-10-09T09:44:08,SharaWill_CV.pdf
8,1760007201087,craft,Business analyst  ,Senior level,0,"Senior business analytics professional focusing on marketing strategy, market research, and budget management.",Expert Leadership | Marketing Strategy (Expert) | Advanced Market Research,Missing specific job titles and companies | No contact details provided | Missing education specifics | Placeholders not replaced | No quantifiable achievements,Replace all placeholders with real details and dates | Add quantifiable metrics to each achievement | Provide full contact information | Detail education specifics and timelines | Tailor skills with relevant tools and examples,Business analytics | Marketing Strategy | Market Research | Budget Management | Leadership | Critical Thinking | Communication | Teamwork,Use of template placeholders | Inconsistent bullet indentation | Left column overcrowded | Generic section headings | Empty reference fields,Use Australian date format (DD/MM/YYYY) for timelines | Include suburb and state in address | State working rights or visa status clearly | Use “Curriculum Vitae (CV)” terminology | Mention familiarity with local market tools,2025-10-09T10:53:41,RichardSanchez_CV.pdf
